rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARPH022TRY,1253.0,926.0,3515.0,1689.0,591.0,4535.0,7677.0,5000.0,1222.0,6973.0,3906.0,3499.0,2701.0,5320.0,1028.0,1814.0,2308.0,1313.0,2673.0,1404.0,5570.0,1859.0,6850.0,5231.0,1004.0,8786.0,11867.0,6727.0,4986.0,4835.0,498.0,733.0,492.0,2803.0,121587.0,1469148.0,1963125.701611
sub-NDARPH105ZFF,1057.0,1050.0,2671.0,1906.0,491.0,4140.0,6982.0,4486.0,1391.0,6192.0,3156.0,3847.0,2583.0,4614.0,763.0,2055.0,1400.0,1126.0,1615.0,2356.0,5077.0,1551.0,6907.0,4598.0,818.0,7436.0,8869.0,5713.0,4726.0,4554.0,416.0,642.0,375.0,2891.0,108453.0,1276354.0,1709124.25987
sub-NDARPH152GU1,1186.0,675.0,2669.0,1922.0,456.0,3630.0,6073.0,3583.0,1289.0,7289.0,2097.0,3434.0,1984.0,4160.0,849.0,1573.0,1460.0,885.0,1760.0,1769.0,4947.0,1265.0,6040.0,4662.0,520.0,7322.0,7620.0,6792.0,4705.0,4524.0,357.0,526.0,483.0,2735.0,101239.0,1263286.0,1862454.192132
sub-NDARPH176EWC,1033.0,701.0,2531.0,2000.0,510.0,2986.0,5291.0,3259.0,877.0,5298.0,2508.0,3408.0,1893.0,3489.0,603.0,1318.0,1447.0,898.0,1618.0,2110.0,3890.0,1094.0,5035.0,3924.0,641.0,6845.0,7111.0,5096.0,3789.0,3298.0,340.0,505.0,353.0,2168.0,87866.3,1082687.0,1474045.477091
sub-NDARPH474YF3,827.0,666.0,1628.0,1304.0,355.0,3127.0,6398.0,2884.0,1031.0,5657.0,2040.0,2375.0,1570.0,3594.0,606.0,1329.0,1455.0,780.0,1814.0,900.0,4069.0,955.0,4541.0,3484.0,473.0,6012.0,6040.0,5878.0,3240.0,4697.0,362.0,445.0,298.0,2211.0,83043.9,1057801.0,1506822.983376
sub-NDARPH513LP3,1017.0,851.0,2029.0,1702.0,458.0,2801.0,4342.0,3190.0,967.0,4123.0,2552.0,3275.0,1987.0,3449.0,686.0,1384.0,1440.0,1058.0,2138.0,1772.0,3358.0,1102.0,4069.0,4339.0,674.0,6754.0,6629.0,5224.0,4060.0,3824.0,333.0,593.0,345.0,2455.0,84982.5,1135223.0,1550956.439551
sub-NDARPH542LMH,1210.0,1196.0,3093.0,1812.0,429.0,3952.0,6670.0,4141.0,1005.0,5334.0,3363.0,3624.0,2592.0,4612.0,732.0,1902.0,1966.0,1176.0,2153.0,1588.0,4755.0,1377.0,6422.0,4853.0,958.0,8632.0,8735.0,5885.0,5183.0,4938.0,349.0,581.0,484.0,3064.0,108767.0,1316810.0,1775104.088038
sub-NDARPH567WUB,1108.0,577.0,2054.0,1584.0,431.0,3495.0,5713.0,3451.0,866.0,4199.0,2439.0,3168.0,1853.0,3894.0,684.0,1294.0,1425.0,810.0,1673.0,1426.0,4427.0,1182.0,4592.0,4189.0,378.0,6497.0,6769.0,5110.0,4082.0,4156.0,358.0,472.0,369.0,2252.0,86977.0,1068083.0,1450593.247398
sub-NDARPH637HAZ,1015.0,742.0,2204.0,1767.0,519.0,3796.0,5777.0,3167.0,861.0,5745.0,2573.0,2716.0,1995.0,3113.0,664.0,1647.0,1857.0,898.0,1643.0,1699.0,3945.0,1170.0,5043.0,4562.0,796.0,6127.0,6813.0,6437.0,3925.0,4388.0,346.0,589.0,314.0,2286.0,91137.1,1209230.0,1574523.200945
sub-NDARPH834YB1,1033.0,643.0,1932.0,1441.0,393.0,3318.0,4801.0,3218.0,1009.0,5528.0,2848.0,3004.0,1862.0,3697.0,625.0,1592.0,1096.0,955.0,1494.0,1256.0,4149.0,1193.0,6833.0,4188.0,567.0,4354.0,8410.0,5221.0,4676.0,4251.0,318.0,586.0,374.0,2461.0,89327.7,1081852.0,1678021.008812
sub-NDARPH844KP2,1119.0,810.0,2306.0,1526.0,432.0,3052.0,6009.0,3670.0,1044.0,5355.0,2479.0,3348.0,2188.0,4260.0,593.0,1492.0,1230.0,908.0,1612.0,1862.0,4537.0,1066.0,5437.0,4540.0,767.0,5694.0,8179.0,6541.0,4452.0,4711.0,288.0,527.0,358.0,2385.0,94778.8,1148935.0,1577900.523326
sub-NDARPH923FN7,673.0,947.0,1770.0,1826.0,339.0,3209.0,4187.0,3464.0,755.0,5249.0,2170.0,3653.0,2243.0,3673.0,635.0,1634.0,1417.0,1005.0,1896.0,1867.0,3970.0,1029.0,4502.0,3828.0,866.0,7599.0,8134.0,3917.0,3661.0,2934.0,374.0,497.0,357.0,2615.0,86895.3,1060692.0,1560475.992702
sub-NDARPJ001BVE,1017.0,759.0,2092.0,1559.0,495.0,2868.0,6313.0,2919.0,1066.0,4722.0,2071.0,3142.0,1838.0,3654.0,654.0,1382.0,1400.0,876.0,1691.0,1669.0,3558.0,1188.0,4952.0,3958.0,470.0,5030.0,6073.0,5546.0,3555.0,2871.0,307.0,389.0,300.0,2107.0,82492.1,1018044.0,1410223.917938
sub-NDARPJ151ERK,981.0,680.0,1278.0,1722.0,442.0,3172.0,6234.0,3617.0,895.0,5538.0,2535.0,3308.0,2213.0,3876.0,694.0,1092.0,1796.0,1162.0,2692.0,1538.0,2074.0,1321.0,3023.0,3422.0,494.0,8372.0,7842.0,4277.0,3519.0,2656.0,398.0,645.0,320.0,2598.0,86426.8,1148958.0,1575898.683646
sub-NDARPJ395JDY,784.0,771.0,2704.0,1910.0,442.0,3882.0,7036.0,4617.0,1118.0,6171.0,3096.0,3880.0,2284.0,4265.0,741.0,1822.0,2144.0,1150.0,1974.0,2034.0,4355.0,1513.0,5810.0,4540.0,659.0,6929.0,9517.0,6210.0,4013.0,4058.0,409.0,522.0,395.0,2939.0,104695.0,1322404.0,1825599.889767
sub-NDARPJ502KEH,943.0,803.0,2146.0,1747.0,437.0,2929.0,5693.0,3192.0,1086.0,5404.0,2471.0,3125.0,2001.0,3743.0,650.0,1660.0,1321.0,872.0,1922.0,1511.0,4511.0,1593.0,5360.0,3978.0,666.0,6997.0,8111.0,4843.0,3818.0,3455.0,347.0,538.0,320.0,2528.0,90722.1,1123676.0,1528705.415109
sub-NDARPJ610JCU,1081.0,969.0,2287.0,1124.0,473.0,3526.0,6355.0,3635.0,966.0,5515.0,2278.0,2189.0,2049.0,4084.0,741.0,1382.0,1282.0,1194.0,2225.0,1062.0,3108.0,1480.0,3954.0,3384.0,869.0,8911.0,8295.0,4120.0,4203.0,3277.0,350.0,532.0,344.0,2443.0,89687.2,1191105.141991,1623016.264474
sub-NDARPJ691NEU,805.0,755.0,2281.0,2033.0,419.0,3440.0,6833.0,4259.0,1118.0,7183.0,2944.0,3887.0,2495.0,4312.0,681.0,1850.0,1596.0,1234.0,2368.0,1894.0,4580.0,1319.0,5910.0,5147.0,814.0,8462.0,8890.0,6807.0,4481.0,3939.0,417.0,529.0,375.0,2499.0,106557.0,1437000.0,1998984.303184
sub-NDARPJ763DV1,866.0,686.0,2363.0,1438.0,492.0,3486.0,5808.0,3718.0,876.0,5006.0,2112.0,2701.0,1958.0,3359.0,560.0,1451.0,1521.0,752.0,1439.0,1434.0,4042.0,1124.0,4639.0,3863.0,535.0,4672.0,6237.0,5300.0,3505.0,3472.0,395.0,486.0,275.0,2063.0,82636.0,1110891.0,1519716.645414
sub-NDARPJ832WL6,956.0,814.0,2506.0,1508.0,340.0,2821.0,5893.0,2892.0,904.0,5198.0,2325.0,3203.0,1916.0,3347.0,725.0,1487.0,1459.0,893.0,1336.0,1616.0,3525.0,1091.0,4656.0,4149.0,585.0,5282.0,6786.0,5291.0,3499.0,3637.0,320.0,374.0,350.0,1895.0,83580.5,1119443.0,1531202.601847
sub-NDARPK095XX5,931.0,606.0,2521.0,1724.0,500.0,3168.0,4802.0,3569.0,845.0,4931.0,2569.0,2963.0,2326.0,3912.0,610.0,1569.0,1944.0,865.0,2047.0,1572.0,4128.0,980.0,4934.0,4602.0,544.0,6410.0,8571.0,5317.0,4028.0,4019.0,390.0,465.0,418.0,2947.0,91726.4,1166859.0,1590093.909387
