lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARNL587LVL,904.0,417.0,1987.0,1528.0,385.0,2939.0,4736.0,3486.0,1003.0,4368.0,2692.0,2915.0,1574.0,3034.0,552.0,1239.0,1426.0,665.0,1346.0,1351.0,3783.0,1081.0,4099.0,3737.0,466.0,5448.0,6763.0,4746.0,3643.0,3992.0,254.0,422.0,425.0,2477.0,79877.8,998696.0,1342345.794489
sub-NDARNL599TMZ,1041.0,416.0,2531.0,1447.0,549.0,2885.0,4532.0,4190.0,895.0,5286.0,2767.0,2752.0,1975.0,3688.0,669.0,1506.0,1475.0,734.0,1161.0,1612.0,4490.0,1172.0,5032.0,3713.0,1015.0,5719.0,7841.0,5707.0,3830.0,3549.0,310.0,521.0,389.0,2416.0,87813.1,1038082.0,1365511.679572
sub-NDARNL765BBR,965.0,652.0,2033.0,1786.0,449.0,3601.0,5719.0,4346.0,1305.0,6272.0,3293.0,3324.0,2179.0,4005.0,761.0,1527.0,1955.0,863.0,1898.0,1732.0,3904.0,1262.0,5444.0,4351.0,861.0,7091.0,8243.0,5853.0,4575.0,4174.0,340.0,525.0,469.0,3122.0,98876.5,1292798.154114,1774291.92925
sub-NDARNL807DKC,1260.0,681.0,2884.0,1782.0,614.0,4521.0,5094.0,4649.0,1652.0,6554.0,3499.0,4125.0,2539.0,4481.0,831.0,1512.0,2632.0,987.0,2180.0,1862.0,5309.0,1993.0,6392.0,5769.0,1218.0,6938.0,8367.0,8864.0,5201.0,5875.0,345.0,643.0,491.0,3315.0,115059.0,1497287.0,2085762.168712
sub-NDARNL887YUJ,953.0,832.0,3262.0,1501.0,531.0,3395.0,3910.0,3394.0,987.0,5875.0,2703.0,3236.0,1767.0,3099.0,608.0,1114.0,1638.0,660.0,1298.0,1463.0,3120.0,1288.0,5940.0,3447.0,636.0,6009.0,8786.0,3624.0,4205.0,3926.0,318.0,497.0,480.0,2506.0,87010.4,1099245.0,1508143.776085
sub-NDARNL926VB7,1175.0,436.0,2072.0,1540.0,642.0,3405.0,5919.0,3274.0,1138.0,5032.0,2654.0,2898.0,1821.0,3270.0,623.0,1326.0,1774.0,778.0,1494.0,1367.0,3599.0,1061.0,4662.0,3961.0,480.0,6368.0,7799.0,5962.0,4394.0,3839.0,344.0,455.0,497.0,2624.0,88693.0,1086399.0,1494372.391343
sub-NDARNL971TL5,1076.0,662.0,2825.0,1485.0,383.0,3590.0,5184.0,3505.0,951.0,5602.0,2699.0,3840.0,1576.0,3287.0,750.0,1377.0,1555.0,939.0,1228.0,1711.0,5197.0,1249.0,5451.0,3843.0,842.0,6093.0,6875.0,5978.0,4713.0,4889.0,283.0,445.0,514.0,2291.0,92890.8,1194418.0,1598969.574619
sub-NDARNM068ZRC,1550.0,708.0,2525.0,1466.0,495.0,3023.0,5293.0,3727.0,1055.0,5301.0,2819.0,3096.0,2195.0,3901.0,692.0,1560.0,1803.0,798.0,1413.0,1161.0,4354.0,1181.0,5238.0,4124.0,963.0,5810.0,7836.0,5868.0,4996.0,5093.0,293.0,608.0,474.0,2308.0,93727.4,1189073.0,1613330.52331
sub-NDARNM384EEW,1058.0,661.0,2341.0,1331.0,586.0,3129.0,5246.0,3970.0,1101.0,4421.0,2354.0,3181.0,1613.0,4081.0,663.0,1341.0,1413.0,658.0,1269.0,1370.0,4513.0,1154.0,4365.0,4015.0,815.0,6061.0,6691.0,5958.0,3925.0,3741.0,280.0,511.0,418.0,2029.0,86267.0,1107424.0,1430102.791487
sub-NDARNM624PDC,833.0,567.0,2196.0,1337.0,560.0,2534.0,3765.0,2665.0,1151.0,5305.0,1599.0,2349.0,1750.0,2763.0,797.0,1751.0,1499.0,580.0,1424.0,1109.0,4588.0,1278.0,5040.0,3584.0,610.0,5161.0,7149.0,4270.0,3547.0,3660.0,326.0,606.0,428.0,2595.0,79380.0,960871.0,1540204.332961
